National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
2019 Mathematics Grades 4 and 8 Assessment Report Cards: Summary Data Tables for National and State Average Scores and NAEP Achievement Level Results,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Average scores and NAEP achievement-level results in NAEP mathematics for fourth-grade public and nonpublic school students, by race/ethnicity and state/jurisdiction: 2019",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,White,,,,,Black,,,,,Hispanic,,,,,,,,,,
,,Percentage of students,,,,,Percentage of students,,,,,Percentage of students,,,,,,,,,
State/jurisdiction,Average scale score,Below NAEP Basic,At or above NAEP Basic ,At or above NAEP Proficient,At NAEP Advanced,Average scale score,Below NAEP Basic,At or above NAEP Basic ,At or above NAEP Proficient,At NAEP Advanced,Average scale score,Below NAEP Basic,At or above NAEP Basic ,At or above NAEP Proficient,At NAEP Advanced,,,,,,
Nation,249,11,89,52,12,224,35,65,20,2,231,27,73,28,3,,,,,,
Nation (public),249,12,88,52,12,224,35,65,20,2,231,27,73,28,3,,,,,,
Alabama,239,17,83,38,5,215,46,54,12,1,220,37,63,16,#,,,,,,
Alaska,247,12,88,49,9,227,28,72,22,2,227,32,68,27,4,,,,,,
Arizona,250,11,89,54,12,223,38,62,20,2,227,31,69,24,2,,,,,,
Arkansas,240,17,83,41,6,215,45,55,13,1,228,29,71,26,2,,,,,,
California,250,11,89,54,13,224,33,67,19,2,225,34,66,20,2,,,,,,
Colorado,252,10,90,57,15,224,38,62,25,2,227,33,67,25,4,,,,,,
Connecticut,252,9,91,56,14,227,33,67,21,2,228,31,69,26,3,,,,,,
Delaware,250,11,89,53,14,225,35,65,20,2,232,26,74,28,4,,,,,,
Florida,254,6,94,59,13,233,23,77,28,3,242,15,85,43,6,,,,,,
Georgia,249,10,90,52,12,224,37,63,19,2,230,26,74,25,2,,,,,,
Hawaii,252,10,90,58,14,à,à,à,à,à,235,23,77,34,5,,,,,,
Idaho,246,14,86,49,10,à,à,à,à,à,227,32,68,24,3,,,,,,
Illinois,246,14,86,51,11,217,43,57,14,1,231,26,74,28,4,,,,,,
Indiana,250,10,90,54,13,223,39,61,20,3,235,25,75,34,6,,,,,,
Iowa,246,14,86,49,10,215,48,52,13,1,227,32,68,21,3,,,,,,
Kansas,247,13,87,49,11,216,45,55,14,1,226,33,67,22,2,,,,,,
Kentucky,242,16,84,44,8,223,37,63,20,3,228,32,68,27,4,,,,,,
Louisiana,244,12,88,43,6,219,41,59,13,1,224,34,66,20,1,,,,,,
Maine,242,17,83,43,9,219,44,56,20,2,à,à,à,à,à,,,,,,
Maryland,251,12,88,54,17,224,37,63,23,3,229,31,69,27,4,,,,,,
Massachusetts,254,9,91,59,16,232,25,75,28,4,232,27,73,30,3,,,,,,
Michigan,243,15,85,44,8,213,51,49,10,1,226,33,67,21,4,,,,,,
Minnesota,258,6,94,65,19,226,35,65,26,4,224,36,64,21,2,,,,,,
Mississippi,251,7,93,55,9,230,25,75,22,1,244,10,90,42,6,,,,,,
Missouri,244,14,86,45,8,216,47,53,15,2,234,23,77,35,5,,,,,,
Montana,245,13,87,47,8,à,à,à,à,à,236,23,77,33,4,,,,,,
Nebraska,251,9,91,55,13,220,40,60,16,#,231,26,74,28,2,,,,,,
Nevada,247,12,88,49,9,219,42,58,15,1,230,28,72,25,3,,,,,,
New Hampshire,246,13,87,47,9,228,33,67,29,3,227,32,68,26,4,,,,,,
New Jersey,254,8,92,61,14,230,26,74,24,2,233,24,76,30,4,,,,,,
New Mexico,243,15,85,44,9,à,à,à,à,à,227,31,69,24,2,,,,,,
New York,245,14,86,47,9,218,43,57,17,1,225,33,67,21,2,,,,,,
North Carolina,252,9,91,56,13,227,30,70,22,2,235,21,79,32,3,,,,,,
North Dakota,247,12,88,49,8,230,28,72,24,4,227,34,66,28,3,,,,,,
Ohio,246,13,87,48,9,221,38,62,14,1,230,26,74,24,3,,,,,,
Oklahoma,243,13,87,42,6,223,37,63,18,1,229,29,71,21,3,,,,,,
Oregon,243,17,83,45,11,à,à,à,à,à,219,42,58,19,3,,,,,,
Pennsylvania,252,10,90,58,16,221,40,60,21,2,224,38,62,22,2,,,,,,
Rhode Island,247,12,88,51,9,227,30,70,24,2,226,32,68,24,2,,,,,,
South Carolina,249,11,89,53,12,220,39,61,15,1,230,29,71,27,3,,,,,,
South Dakota,248,10,90,51,9,222,40,60,20,3,227,31,69,24,3,,,,,,
Tennessee,247,15,85,49,12,227,31,69,23,2,224,35,65,20,2,,,,,,
Texas,254,8,92,59,16,233,24,76,32,3,238,19,81,35,4,,,,,,
Utah,249,12,88,52,13,à,à,à,à,à,225,36,64,25,3,,,,,,
Vermont,240,18,82,40,7,à,à,à,à,à,à,à,à,à,à,,,,,,
Virginia,253,8,92,57,14,232,24,76,26,2,238,19,81,36,6,,,,,,
Washington,246,14,86,47,11,223,37,63,21,3,227,34,66,24,3,,,,,,
West Virginia,232,24,76,31,4,218,44,56,16,1,à,à,à,à,à,,,,,,
Wisconsin,249,12,88,53,13,212,53,47,14,2,228,35,65,27,4,,,,,,
Wyoming,249,10,90,52,10,à,à,à,à,à,238,18,82,36,4,,,,,,
Other jurisdictions,,,,,,,,,,,,,,,,,,,,,
District of Columbia,273,3,97,84,37,226,33,67,22,2,233,27,73,33,4,,,,,,
DoDEA1,254,6,94,60,12,241,11,89,38,3,246,10,90,47,7,,,,,,
Puerto Rico,à,à,à,à,à,à,à,à,à,à,185,85,15,1,#,,,,,,
See notes at end of table.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
